"","RNA-hipocampo-5xFAD-A.bam","RNA-hipocampo-5xFAD-B.bam","RNA-hipocampo-WT-A.bam","RNA-hipocampo-WT-B.bam"
"ENSMUSG00000104165",0,0,0,0
"ENSMUSG00000100868",0,0,0,0
"ENSMUSG00000025920",16,24,27,28
"ENSMUSG00000089982",0,0,0,0
"ENSMUSG00000025939",10,3,7,4
"ENSMUSG00000102457",0,0,0,0
"ENSMUSG00000079658",21,16,19,25
"ENSMUSG00000097744",0,0,0,0
"ENSMUSG00000100959",0,0,0,0
"ENSMUSG00000025940",8,13,11,13
"ENSMUSG00000025779",0,0,0,0
"ENSMUSG00000100093",1,0,0,0
"ENSMUSG00000091020",1,1,0,2
"ENSMUSG00000101640",0,0,0,0
"ENSMUSG00000104133",0,0,0,0
"ENSMUSG00000042686",4,3,4,2
"ENSMUSG00000100110",0,0,0,0
"ENSMUSG00000025777",12,13,19,20
"ENSMUSG00000099899",0,0,0,0
"ENSMUSG00000100272",0,0,0,0
"ENSMUSG00000100398",0,0,0,0
"ENSMUSG00000101589",3,4,8,1
"ENSMUSG00000102048",0,0,0,0
"ENSMUSG00000089534",0,0,0,0
"ENSMUSG00000067780",1,0,0,0
"ENSMUSG00000100053",0,0,0,0
"ENSMUSG00000085125",0,0,0,0
"ENSMUSG00000025776",0,0,0,0
"ENSMUSG00000099895",0,0,0,0
"ENSMUSG00000100554",0,0,0,0
"ENSMUSG00000099473",0,0,0,0
"ENSMUSG00000099591",0,0,0,0
"ENSMUSG00000109887",2,0,1,1
"ENSMUSG00000102001",0,0,0,0
"ENSMUSG00000101717",0,0,0,0
"ENSMUSG00000025774",0,0,0,0
"ENSMUSG00000070977",0,0,0,0
"ENSMUSG00000073735",0,0,0,0
"ENSMUSG00000067773",0,0,0,0
"ENSMUSG00000101685",0,0,0,0
"ENSMUSG00000101306",0,0,0,0
"ENSMUSG00000088800",0,0,0,0
"ENSMUSG00000101644",0,0,0,0
"ENSMUSG00000099433",0,0,0,0
"ENSMUSG00000089787",0,0,0,0
"ENSMUSG00000042596",0,0,0,0
"ENSMUSG00000100720",0,0,0,0
"ENSMUSG00000025927",0,0,0,0
"ENSMUSG00000100538",0,0,0,0
"ENSMUSG00000101117",0,0,0,0
"ENSMUSG00000100204",0,1,1,2
"ENSMUSG00000084668",0,0,0,0
"ENSMUSG00000102597",0,0,0,0
"ENSMUSG00000043760",0,0,0,0
"ENSMUSG00000104095",0,0,0,0
"ENSMUSG00000089914",0,0,0,0
"ENSMUSG00000090142",0,0,0,0
"ENSMUSG00000070175",0,0,0,0
"ENSMUSG00000099906",0,0,0,0
"ENSMUSG00000065559",0,0,0,0
"ENSMUSG00000065480",0,0,0,0
"ENSMUSG00000025929",0,0,0,0
"ENSMUSG00000041872",0,0,0,0
"ENSMUSG00000041859",0,1,0,0
"ENSMUSG00000099714",0,0,0,0
"ENSMUSG00000102121",0,0,0,0
"ENSMUSG00000088858",0,0,0,0
"ENSMUSG00000097934",0,1,0,0
"ENSMUSG00000025931",49,33,46,29
"ENSMUSG00000077314",0,0,0,0
"ENSMUSG00000100929",0,0,0,0
"ENSMUSG00000041809",0,0,0,1
"ENSMUSG00000041779",1,1,3,0
"ENSMUSG00000099971",0,0,0,0
"ENSMUSG00000100819",0,0,0,0
"ENSMUSG00000025933",5,9,7,6
"ENSMUSG00000102633",0,0,0,0
"ENSMUSG00000025934",0,0,0,0
"ENSMUSG00000099343",0,0,0,0
"ENSMUSG00000096375",1,0,1,1
"ENSMUSG00000025936",0,0,0,0
"ENSMUSG00000093963",0,0,0,0
"ENSMUSG00000067750",0,0,0,0
"ENSMUSG00000086194",0,0,0,0
"ENSMUSG00000094436",0,0,0,0
"ENSMUSG00000041722",0,0,0,0
"ENSMUSG00000085507",0,0,0,0
"ENSMUSG00000094926",0,0,0,0
"ENSMUSG00000085079",0,0,0,0
"ENSMUSG00000085679",0,0,0,0
"ENSMUSG00000028033",11,7,14,13
"ENSMUSG00000104138",0,0,0,0
"ENSMUSG00000082935",9,18,17,22
"ENSMUSG00000103748",0,0,0,0
"ENSMUSG00000099692",0,0,0,0
"ENSMUSG00000100418",0,0,0,0
"ENSMUSG00000041670",20,22,29,21
"ENSMUSG00000097642",0,0,0,0
"ENSMUSG00000101468",0,0,0,0
"ENSMUSG00000101227",0,0,0,0
"ENSMUSG00000073730",0,0,0,0
"ENSMUSG00000089553",0,0,0,0
"ENSMUSG00000102766",0,0,0,0
"ENSMUSG00000065405",0,0,0,0
"ENSMUSG00000097970",0,0,0,0
"ENSMUSG00000065567",0,0,0,0
"ENSMUSG00000100775",0,0,0,0
"ENSMUSG00000101226",0,0,0,0
"ENSMUSG00000026158",21,37,25,27
"ENSMUSG00000097920",0,0,0,0
"ENSMUSG00000099503",0,0,0,0
"ENSMUSG00000026156",5,10,5,3
"ENSMUSG00000026155",0,0,0,0
"ENSMUSG00000026154",2,1,3,1
"ENSMUSG00000102495",0,0,0,0
"ENSMUSG00000026153",3,0,1,1
"ENSMUSG00000102398",0,0,0,0
"ENSMUSG00000097670",0,0,0,0
"ENSMUSG00000026147",0,0,0,0
"ENSMUSG00000026141",0,0,1,1
"ENSMUSG00000077463",0,0,0,0
"ENSMUSG00000099997",2,2,1,1
"ENSMUSG00000100131",132,160,271,145
"ENSMUSG00000067736",119,116,183,105
"ENSMUSG00000101939",37,48,74,54
"ENSMUSG00000101111",1126,1264,1755,1237
"ENSMUSG00000100862",746,812,1144,741
"ENSMUSG00000102070",1389,1559,1309,1257
"ENSMUSG00000101249",1486,1600,1680,1610
"ENSMUSG00000073725",25,19,31,27
"ENSMUSG00000100808",0,0,0,0
"ENSMUSG00000100483",0,0,0,0
"ENSMUSG00000100450",0,0,0,0
"ENSMUSG00000099392",0,0,0,0
"ENSMUSG00000033569",15,12,14,15
"ENSMUSG00000080849",0,0,0,0
"ENSMUSG00000104257",0,0,0,0
"ENSMUSG00000096866",0,0,0,0
"ENSMUSG00000102296",0,0,0,0
"ENSMUSG00000103209",0,0,0,0
"ENSMUSG00000104027",0,0,0,0
"ENSMUSG00000102407",0,0,0,0
"ENSMUSG00000103214",0,0,0,0
"ENSMUSG00000104100",0,1,0,0
"ENSMUSG00000084740",0,0,0,0
"ENSMUSG00000103889",0,0,0,0
"ENSMUSG00000101301",0,0,0,0
"ENSMUSG00000104221",0,0,0,0
"ENSMUSG00000102250",0,0,0,0
"ENSMUSG00000102317",1,0,0,0
"ENSMUSG00000103563",0,0,0,0
"ENSMUSG00000102465",0,0,2,0
