,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000102937,0.29554425281349245,2.0767874666430193,5.347589154657216,0.3883595778546945,0.697749953451315,
ENSMUSG00000104149,0.29554425281349245,2.0767874666430193,5.347589154657216,0.3883595778546945,0.697749953451315,
ENSMUSG00000088829,0.0,,,,,
ENSMUSG00000077377,0.0,,,,,
ENSMUSG00000101652,0.0,,,,,
ENSMUSG00000100814,0.0,,,,,
ENSMUSG00000025925,1.0624226600453595,-3.1978139769502976,3.411271841147908,-0.9374257244401312,0.34853961370747255,
ENSMUSG00000104379,0.0,,,,,
ENSMUSG00000032719,0.0,,,,,
ENSMUSG00000088943,0.0,,,,,
ENSMUSG00000100652,0.0,,,,,
ENSMUSG00000067795,0.0,,,,,
ENSMUSG00000043716,1.3428300827040762,-0.3313557292187474,1.998564668303848,-0.1657968513473042,0.8683168240902484,
ENSMUSG00000025921,0.6195996776709982,-2.4169149961549192,3.2800206299779386,-0.7368596935230787,0.46120767756579917,
ENSMUSG00000104165,0.0,,,,,
ENSMUSG00000100868,0.0,,,,,
ENSMUSG00000025920,2.726846776170693,5.231517531247765,3.183887770180023,1.643122468149047,0.10035759705255803,
ENSMUSG00000089982,0.0,,,,,
ENSMUSG00000025939,0.47232094811012937,0.6735719672607892,2.921718274322089,0.23053967015936014,0.8176724411941704,
ENSMUSG00000102457,1.510208720800338,-0.47411632263321246,2.3613669394405097,-0.20078045250584695,0.8408702483177593,
ENSMUSG00000079658,2.4588269017094593,-0.6442619288584928,1.7652859276530593,-0.36496179953977004,0.7151399218282706,
ENSMUSG00000097744,0.0,,,,,
ENSMUSG00000100959,0.0,,,,,
ENSMUSG00000025940,2.3745203883089894,0.9871705412893294,1.3672537915945333,0.7220097302769669,0.4702884952205715,
ENSMUSG00000025779,0.1767766952966369,-0.7405060970833712,5.350725015697783,-0.13839359991606717,0.8899293548737048,
ENSMUSG00000100093,0.0,,,,,
ENSMUSG00000091020,0.9039833850185776,-0.8853065796688658,2.146270637949891,-0.4124859950162236,0.6799832437133277,
ENSMUSG00000101640,0.0,,,,,
ENSMUSG00000104133,0.0,,,,,
ENSMUSG00000042686,0.3290185032381231,2.154950214460369,5.337150365837652,0.4037641937641296,0.6863861291714062,
ENSMUSG00000100110,0.0,,,,,
ENSMUSG00000025777,2.0950997593420277,3.2196076659604986,1.973650546094386,1.6312957085192767,0.10282793847968612,
ENSMUSG00000099899,0.0,,,,,
ENSMUSG00000100272,0.0,,,,,
ENSMUSG00000100398,0.0,,,,,
ENSMUSG00000101589,1.170029672096302,-1.3863476589863328,2.220813680071088,-0.6242521249877909,0.5324620195624888,
